,league_,season_,team_,players_used_,90s_,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,url_,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast_,xAG_,Expected_xA,Expected_A-xAG,KP_,1/3_,PPA_,CrsPA_,PrgP_,Att_,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int_,Tkl+Int_,Clr_,Err_,Poss_,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Age_,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Playing Time_Starts,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
0,ENG-Premier League,2425,Arsenal,24,25,49,338,122,36.1,13.52,4.88,0.14,0.39,14.8,3,2,2,40.0,38.5,0.12,9.0,8.5,/en/squads/18bb7c10/Arsenal-Stats,10784,12922,83.5,177766,57120,5455,5976,91.3,4409,4989,88.4,721,1387,52.0,38,30.5,30.2,7.5,267,872,268,45,1159,12922,11836,1029,286,50,57,507,406,162,149,3,2,10784,57,184,600,24.0,453,52,29,40,18,8,87,3.48,64,9,2,8,3,1,416,251,151,179,86,178,361,49.3,183,230,78,152,159,575,434,19,55.0,15454,1244,4083,6639,4850,830,15452,489,213,43.6,214,43.8,8974,46356,24149,515,311,186,308,267,10684,1139,54,4,2,280,266,57,507,159,251,2,2,0,964,325,307,51.4,26.5,25,2250,90,100,25,275,84,181,91,17,134,2.12,51,22,29,1.16,40.0,21.4,18.6,0.74,25,22,0.88,83,61,75.9,15,8,2,9,36.0,2,2,0,0,0.0,22,2,1,4,0,21.9,0.24,-0.1,0.0,117,339,34.5,780,108,34.1,31.0,128,57.0,42.3,271,35,12.9,38,1.52,15.9
1,ENG-Premier League,2425,Aston Villa,28,26,36,331,101,30.5,12.73,3.88,0.1,0.34,16.2,9,2,3,37.2,34.8,0.11,-1.2,-0.8,/en/squads/8602292d/Aston-Villa-Stats,10369,12500,83.0,176097,60546,4791,5314,90.2,4631,5204,89.0,726,1361,53.3,27,27.0,25.7,0.0,246,784,227,41,908,12500,11297,1166,395,64,36,434,346,172,112,19,1,10369,37,243,587,22.58,407,63,36,45,25,11,65,2.5,51,3,2,5,3,1,452,262,210,182,60,212,378,56.1,166,227,73,154,171,623,511,31,51.3,15162,1740,5058,6525,3727,659,15159,511,234,45.8,211,41.3,8670,47558,24960,483,322,137,331,263,10198,901,54,2,1,302,336,37,434,171,262,3,2,0,984,261,280,48.2,27.6,26,2340,90,100,26,286,80,171,115,25,117,1.5,37,40,-3,-0.12,37.2,32.7,4.5,0.17,26,40,1.54,105,64,62.9,10,9,7,3,11.5,2,1,1,0,50.0,40,1,1,1,0,36.7,0.34,-3.3,-0.13,111,267,41.6,790,88,25.4,29.3,187,35.3,31.3,351,40,11.4,27,1.04,14.3
2,ENG-Premier League,2425,Bournemouth,28,25,44,396,138,34.8,15.84,5.52,0.1,0.28,16.7,7,6,7,46.8,41.3,0.11,-2.8,-3.3,/en/squads/4ba7cbea/Bournemouth-Stats,8164,10725,76.1,149927,57793,3522,4087,86.2,3614,4287,84.3,887,1843,48.1,33,31.8,24.7,1.2,306,806,214,58,994,10725,9567,1113,268,40,51,537,448,153,113,11,3,8164,45,209,701,28.04,535,48,33,42,25,18,76,3.04,51,5,4,5,10,1,481,282,203,208,70,201,428,47.0,227,313,98,215,241,722,647,14,46.6,13914,1503,4217,5902,3983,676,13907,463,198,42.8,211,45.6,7553,43531,23063,482,328,160,395,245,8086,984,64,0,0,339,254,45,537,241,282,7,2,0,1251,353,419,45.7,25.8,25,2250,90,100,25,275,83,168,107,18,118,1.72,44,29,15,0.6,46.8,32.0,14.8,0.59,25,29,1.16,125,96,78.4,12,7,6,6,24.0,2,2,0,0,0.0,29,2,1,3,0,39.1,0.3,10.1,0.4,132,326,40.5,585,103,37.9,33.7,190,54.7,42.6,323,16,5.0,38,1.52,15.6
3,ENG-Premier League,2425,Brentford,27,25,43,285,118,41.4,11.4,4.72,0.14,0.33,15.5,8,4,4,40.1,37.0,0.13,2.9,2.0,/en/squads/cd051869/Brentford-Stats,9020,11511,78.4,163690,62022,3999,4609,86.8,3951,4653,84.9,918,1749,52.5,28,29.3,25.1,-1.3,219,733,211,58,921,11511,10420,1040,255,44,40,446,382,114,90,2,0,9020,51,195,521,20.84,394,42,28,24,24,9,76,3.04,55,6,4,4,6,1,423,259,200,145,78,208,392,53.1,184,320,134,186,192,615,692,18,47.7,14391,2283,5718,5301,3499,623,14387,407,166,40.8,190,46.7,7717,41810,21228,403,249,134,343,215,8902,911,36,1,0,197,226,51,446,192,259,4,1,2,1087,420,374,52.9,26.5,25,2250,90,100,25,275,84,181,94,16,131,1.36,43,42,1,0.04,40.1,40.2,-0.1,0.0,25,42,1.68,149,109,72.5,10,4,11,4,16.0,1,1,0,0,0.0,42,1,0,2,2,39.3,0.26,-0.7,-0.03,165,453,36.4,988,87,35.8,34.0,222,44.6,37.4,412,32,7.8,26,1.04,11.8
4,ENG-Premier League,2425,Brighton,30,25,37,348,114,32.8,13.92,4.56,0.1,0.32,17.5,17,1,1,33.7,33.0,0.1,3.3,3.0,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,10524,12696,82.9,180291,61796,5007,5531,90.5,4382,4984,87.9,907,1600,56.7,25,24.0,24.6,1.0,242,781,212,57,1041,12696,11611,1058,341,50,53,457,375,128,80,28,1,10524,27,203,607,24.28,445,45,39,32,37,9,65,2.6,50,2,6,3,3,1,443,265,172,198,73,216,451,47.9,235,297,84,213,207,650,476,17,52.6,15639,1770,5082,6815,3921,682,15638,551,231,41.9,269,48.8,9240,51656,28220,548,385,173,374,235,10403,1029,55,1,1,298,283,27,457,207,265,1,6,2,1098,330,306,51.9,25.8,25,2250,90,100,25,275,81,154,120,19,105,1.48,38,38,0,0.0,33.7,36.9,-3.1,-0.12,25,38,1.52,96,60,66.7,9,10,6,6,24.0,6,6,0,0,0.0,38,6,1,4,2,33.4,0.3,-2.6,-0.1,86,251,34.3,826,97,25.5,25.1,151,26.5,24.7,293,21,7.2,39,1.56,15.4
5,ENG-Premier League,2425,Chelsea,27,25,46,397,133,33.5,15.88,5.32,0.11,0.32,16.3,14,3,3,49.2,46.8,0.12,-3.2,-3.8,/en/squads/cff3d9bb/Chelsea-Stats,12291,14462,85.0,210782,66385,5583,6094,91.6,5559,6146,90.4,911,1626,56.0,34,37.4,29.0,-3.4,301,978,220,41,1048,14462,13331,1088,349,59,66,416,395,150,99,9,2,12291,43,202,710,28.4,543,38,42,45,26,16,81,3.24,56,3,8,7,5,2,392,244,174,162,56,186,376,49.5,190,246,75,171,181,573,400,30,58.6,17024,1558,5138,7761,4263,754,17021,535,225,42.1,234,43.7,10002,53009,28417,585,336,208,304,199,12199,1037,73,1,1,295,298,43,416,181,244,3,6,0,1031,261,257,50.4,24.2,25,2250,90,100,25,275,83,179,95,20,130,1.72,47,34,13,0.52,49.2,35.6,13.5,0.54,25,34,1.36,117,82,75.2,12,7,6,4,16.0,6,5,1,0,16.7,34,5,0,2,0,34.2,0.25,0.2,0.01,64,271,23.6,844,143,29.7,31.4,135,14.8,19.1,248,31,12.5,47,1.88,15.3
6,ENG-Premier League,2425,Crystal Palace,27,25,28,345,119,34.5,13.8,4.76,0.08,0.22,17.3,11,2,2,35.3,33.8,0.1,-7.3,-7.8,/en/squads/47c64c55/Crystal-Palace-Stats,8171,10812,75.6,147910,54901,3518,4110,85.6,3741,4453,84.0,770,1739,44.3,22,27.1,22.9,-5.1,254,627,181,43,818,10812,9696,1073,303,45,39,414,399,118,68,18,0,8171,43,203,581,23.24,419,51,22,47,33,9,52,2.08,32,6,3,7,4,0,528,312,263,197,68,227,455,49.9,228,330,92,238,213,741,679,13,44.0,13826,1715,5091,5812,3062,520,13824,325,137,42.2,156,48.0,6936,35310,16984,333,234,87,311,244,8112,807,48,1,0,269,279,43,414,213,312,2,2,2,1163,367,451,44.9,26.8,25,2250,90,100,25,275,84,182,92,18,133,1.2,29,32,-3,-0.12,35.3,33.3,2.0,0.08,25,32,1.28,100,69,69.0,7,9,9,7,28.0,2,1,1,0,50.0,32,1,0,2,2,32.3,0.32,2.3,0.09,98,395,24.8,609,75,48.6,38.3,196,50.5,41.8,370,19,5.1,31,1.24,14.8
7,ENG-Premier League,2425,Everton,25,25,24,274,87,31.8,10.96,3.48,0.08,0.26,17.3,10,1,1,26.3,25.5,0.09,-2.3,-2.5,/en/squads/d3fd31cc/Everton-Stats,7340,9729,75.4,139188,56296,3278,3798,86.3,2925,3490,83.8,1006,1929,52.2,15,20.1,17.8,-5.1,204,673,170,54,679,9729,8562,1104,290,25,56,422,474,98,54,23,10,7340,63,210,480,19.2,359,41,28,18,25,9,41,1.64,25,3,4,2,4,3,501,289,255,175,71,227,430,52.8,203,248,95,153,231,732,713,16,40.3,12682,1605,4618,5086,3129,473,12681,469,209,44.6,223,47.5,6074,32824,15947,317,232,86,352,265,7278,667,53,2,1,289,257,63,422,231,289,0,2,0,1048,391,368,51.5,29.0,25,2250,90,100,25,275,84,195,78,19,146,1.2,27,31,-4,-0.16,26.3,32.2,-5.9,-0.24,25,31,1.24,105,72,70.5,7,9,9,9,36.0,2,0,2,0,100.0,31,0,0,6,0,33.4,0.31,2.4,0.09,214,556,38.5,851,108,53.3,41.0,186,54.8,44.4,366,21,5.7,50,2.0,16.2
8,ENG-Premier League,2425,Fulham,26,25,37,353,116,32.9,14.12,4.64,0.1,0.29,16.3,7,3,4,36.1,32.9,0.1,0.9,1.1,/en/squads/fd962109/Fulham-Stats,10959,13343,82.1,193788,65168,4918,5474,89.8,4811,5457,88.2,1011,1798,56.2,33,28.0,24.9,5.0,281,885,229,73,1038,13343,12188,1124,316,30,78,584,448,132,54,57,0,10959,31,223,651,26.04,490,51,31,47,19,13,68,2.72,51,3,4,3,4,3,430,253,201,178,51,179,359,49.9,180,245,65,180,220,650,515,18,52.8,15989,1687,5229,6659,4269,649,15985,435,200,46.0,163,37.5,9628,49097,25685,559,383,162,321,183,10855,1028,55,2,0,276,257,31,584,220,253,3,1,1,1051,330,352,48.4,28.5,25,2250,90,100,25,275,83,158,116,16,109,1.56,38,33,5,0.2,36.1,28.0,8.1,0.32,25,33,1.32,98,66,67.3,10,9,6,4,16.0,1,1,0,0,0.0,33,1,0,4,1,29.4,0.29,-2.6,-0.1,80,238,33.6,766,100,23.9,28.7,170,32.4,29.6,321,18,5.6,23,0.92,13.1
9,ENG-Premier League,2425,Ipswich Town,32,25,22,225,79,35.1,9.0,3.16,0.09,0.25,17.3,8,2,2,22.7,21.1,0.09,-0.7,-1.1,/en/squads/b74092de/Ipswich-Town-Stats,7720,9888,78.1,135454,51189,3571,4027,88.7,3319,3885,85.4,675,1450,46.6,15,15.7,14.5,-0.7,172,573,107,33,602,9888,8835,1016,281,34,41,324,365,98,75,12,1,7720,37,202,404,16.16,278,48,33,15,22,8,34,1.36,25,2,3,2,2,0,407,222,200,152,55,190,431,44.1,241,274,115,159,220,627,674,27,40.2,12684,2025,5233,4962,2621,398,12682,405,185,45.7,176,43.5,6411,35493,16897,330,226,100,371,237,7653,594,65,3,3,292,255,37,324,220,222,2,5,0,972,351,351,50.0,26.4,25,2250,90,100,25,275,83,158,115,17,110,0.68,23,50,-27,-1.08,22.7,50.3,-27.6,-1.1,25,50,2.0,139,89,67.6,3,8,14,2,8.0,5,5,0,0,0.0,50,5,0,2,0,49.2,0.33,-0.8,-0.03,121,357,33.9,694,122,35.7,35.2,197,55.3,41.9,382,50,13.1,22,0.88,7.6
